macro,delay
AHETPI,0
BOPGEXP,2
BOPGIMP,2
BOPGSTB,2
BOPGTB,2
BOPSEXP,2
BOPSIMP,2
BOPSTB,2
BOPTEXP,2
BOPTIMP,2
CAPUTLG3311A2S,1
CEFDFSA066MSFRBPHI,1
CES0800000001,1
CES1021100001,1
CES4244110001,1
CES4244800001,1
CPIAUCSL,1
CSUSHPISA,2
CURRDD,2
CURRSL,2
CWSR0000SA0,2
DEMDEPSL,1
DGDSRC1,1
DMANEMP,0
DSPI,1
FEDFUNDS,0
FRBKCLMCILA,1
FRBKCLMCIM,1
GACDFSA066MSFRBPHI,0
GACDISA066MSFRBNY,0
HPIPONM226S,2
INDPRO,1
IPCONGD,1
IPG211111CS,1
IPG3361T3S,1
IPMAN,1
IPMANSICS,1
IPMINE,1
IPN31152S,2
IPN3311A2RS,2
IPUTIL,1
IR3TIB01USM156N,1
ITMTAEM133S,2
ITXFISM133S,2
ITXTCIM133S,2
JTS1000JOL,1
JTS2300JOL,1
JTS3000JOL,1
JTS4000JOL,1
JTS4400JOL,1
JTS540099JOL,1
JTS6000JOL,1
JTS7000JOL,1
JTS7200JOL,1
JTSJOL,1
JTSOSL,1
M1REAL,1
M1SL,1
M2REAL,1
M2SL,1
MANEMP,0
MCUMFN,1
MEIM683SFRBCHI,1
MNFCTRIMSA,2
MNFCTRIRSA,2
MNFCTRMPCIMSA,2
MNFCTRMPCSMSA,2
MNFCTRSMSA,2
MPCT00XXS,1
MPCT03XXS,1
MPCT04XXS,1
MPCT12XXS,1
MPCTNRXXS,1
MPCTXXXXS,1
MPCV00XXS,1
NPPTTL,1
PCE,1
PCEC96,1
PCEDG,1
PCEDGC96,1
PCEND,1
PCENDC96,1
PCEPI,1
PCEPILFE,1
PCES,1
PCESC96,1
PCTR,1
PDI,1
PI,1
PMSAVE,1
PPCDFSA066MSFRBPHI,0
PPCDISA066MSFRBNY,0
PRRESCONS,1
PSAVERT,1
RMFSL,1
RPI,1
S4248SM144SCEN,2
SPCS20RSA,2
STDSL,1
TCU,1
TEMPHELPS,0
TLCOMCONS,1
TLHLTHCONS,1
TLHWYCONS,1
TLNRESCONS,1
TLRESCONS,1
TTLCONS,1
USCONS,0
USFIRE,0
USGOOD,0
USPBS,0
USPHCI,1
USPRIV,0
USSLIND,2
USTPU,0
USTRADE,0
W825RC1,1
W875RX1,1
WHLSLRIRSA,2
A939RX0Q048SBEA,4
B009RC1Q027SBEA,4
CDSP,5
COFC,4
CP,4
CPATAX,4
FODSP,5
FPI,4
GDI,4
GDPC1,4
GGSAVE,4
GPDI,4
GPDIC1,4
GPSAVE,4
GSAVE,4
IEABC,4
IEAMGS,4
IEAXGS,4
MDSP,5
MMMFTAQ027S,4
NETFI,4
OUTMS,4
PNFI,4
PRFI,4
RSAHORUSQ156S,3
TDSP,5
ULCMFG,4
W207RC1Q156SBEA,4
W986RC1Q027SBEA,4
